id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31514,BEAUTY DUPLEX LOFT #4 SAN TELMO,64880,Elbio Mariano,,Monserrat,-34.61494,-58.37517,Entire home/apt,7238,2,31,2022-05-19,0.22,9,311,3,
31920,Beautifull apartment in Belgrano!,137373,Nancy,,Belgrano,-34.5644,-58.4606,Entire home/apt,8685,30,0,,,1,365,0,
35703,Charming studio in Palermo/Recoleta,150763,Viviana,,Recoleta,-34.59188,-58.40778,Entire home/apt,4343,7,90,2021-12-02,0.65,1,264,3,
148284,Sunny Terrace Apart. in Downtown BA,407702,Ruy,,Monserrat,-34.61331,-58.38491,Entire home/apt,4777,2,271,2022-09-06,1.98,3,107,4,
150594,Departamento Parque chacabuco,716702,Eugenia,,Parque Chacabuco,-34.63439,-58.44441,Private room,19684,7,0,,,1,365,0,
37347,Palermo/Las Cañitas Apartment,161327,Mariano,,Palermo,-34.57148,-58.43246,Entire home/apt,5066,12,56,2022-09-06,0.40,12,310,12,
154427,Spotless apt. in a Great location. 100% Equipped.,426566,Egle,,Almagro,-34.62053,-58.41653,Entire home/apt,3298,5,69,2022-07-15,0.52,8,350,10,
154430,"Loft Style, modern,bright &spacious",742738,Martin,,Palermo,-34.59387,-58.41445,Entire home/apt,1882,30,2,2021-06-01,0.02,1,210,0,
154767,Central location/2min from Metro -  Fast WiFi,426566,Egle,,Almagro,-34.6202,-58.41543,Entire home/apt,3421,5,36,2020-05-10,0.27,8,336,0,
41242,"Casa, con gran terraza,4 dormitorios, 2 en suite",74406,Mathilde,,Palermo,-34.58772,-58.42671,Entire home/apt,217129,60,0,,,6,365,0,
41243,"HABITACION EN SUITE   ,  4 DISPONIBLES",74406,Mathilde,,Palermo,-34.58984,-58.42584,Private room,2606,15,0,,,6,363,0,
41608,Palermo Soho Spectacular Modern Unit,181721,Silveria,,Palermo,-34.5847,-58.42648,Entire home/apt,10856,2,137,2022-08-21,1.00,2,257,14,
42450,French Classic in San Telmo: Balcony over Defensa!,185437,Grisel,,Monserrat,-34.61578,-58.37175,Entire home/apt,9719,4,148,2022-09-19,1.11,3,97,16,
158056,PalermoSoho Excellent Location! steps from LaRural,758728,Mauricio,,Palermo,-34.58207,-58.42094,Entire home/apt,4487,6,58,2022-09-17,0.49,9,318,4,
45498,"Quiet & Chic, fully equipped, 2Bd, pool & terrace",75891,Sergio,,Palermo,-34.58182,-58.44144,Entire home/apt,14745,2,137,2022-09-21,0.94,4,155,22,
159585,Apartment in Recoleta Juncal 2200,772165,Jorge,,Recoleta,-34.59316,-58.40053,Entire home/apt,3474,3,12,2019-09-03,0.09,1,206,0,
48089,Recoleta Classic French-Style 2BDR,192475,Chris,,Recoleta,-34.58705,-58.38791,Entire home/apt,7238,7,103,2022-01-27,0.71,1,264,3,
48527,French style apartment in Recoleta,221661,Ricardo,,Recoleta,-34.58555,-58.39468,Entire home/apt,19355,3,1,2014-01-07,0.01,2,365,0,
160611,Habitación en Las Cañitas,769336,Natalia,,Palermo,-34.56526,-58.4334,Private room,19232,1,8,2017-09-25,0.12,1,365,0,
48535,Elegant apartment in downtown Bs.As,221044,Florencia,,Retiro,-34.5962,-58.37529,Entire home/apt,7238,90,0,,,1,364,0,
