id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19587107,Charming @ Martim Moniz,76127721,Nuno,Lisboa,Arroios,38.7203,-9.13885,Entire home/apt,182,2,166,2022-09-04,2.64,20,357,35,49654/AL
19587852,Libest Bica 1 - Cordoeiros RIVER VIEW!,56201244,Libest,Lisboa,Misericrdia,38.70836,-9.14743,Entire home/apt,125,2,115,2022-08-28,1.82,35,241,21,49906/AL
19588567,Large studio in a building with swimming pool.,116732335,Paulo,Cascais,Cascais e Estoril,38.70077,-9.43228,Entire home/apt,83,2,62,2022-09-08,0.98,3,152,8,41234/AL
19435994,Beach Luxury Apartment | AC | Parking | Pool,136260366,Jéssica,Mafra,Ericeira,38.97229,-9.41041,Entire home/apt,122,1,30,2022-06-29,0.48,1,342,6,48177/AL
19446900,Inn Possible Lisbon Red Apartment,119470881,Inn Possible,Lisboa,Santa Maria Maior,38.71075,-9.13198,Entire home/apt,172,2,215,2022-08-26,3.39,3,275,53,39478/AL
19352642,Lisbon Sky Flat,62385974,Alexandre,Lisboa,Misericrdia,38.71548,-9.14892,Entire home/apt,133,3,124,2022-08-27,2.36,1,48,13,71053/AL
19454205,Comfy @ Chiado,76127721,Nuno,Lisboa,Misericrdia,38.71032,-9.14749,Entire home/apt,203,3,193,2022-09-07,3.10,20,359,52,48848/AL
19355615,Santos ROOM B River-view Sunny Central Room,11470182,Tin,Lisboa,Estrela,38.7082,-9.16065,Private room,52,1,152,2022-09-10,2.41,23,179,18,49962/AL
19456056,"Alfama Duplex - 75 sqm, 4 people",136442189,Daniel,Lisboa,Santa Maria Maior,38.7119,-9.13001,Entire home/apt,79,2,99,2022-09-12,1.60,1,12,68,61909/AL
19588580,Clara's house,137688286,Clara,Cascais,Carcavelos e Parede,38.69305,-9.35033,Private room,15,1,39,2019-07-15,0.62,1,3,0,
19356042,Santos ROOM E River-view Sunny Central Room,11470182,Tin,Lisboa,Estrela,38.70661,-9.15927,Private room,48,1,152,2022-08-30,2.41,23,186,20,49962/AL
19357037,The Sunset Hideout,22809366,Tim,Lisboa,So Vicente,38.72047,-9.1312,Entire home/apt,143,3,66,2022-08-30,1.32,7,234,46,54163/AL
19357595,Superbe Apt avec Piscine in the heart of Lisbon,91464804,Hometown Experience Lisbon,Lisboa,So Vicente,38.71682,-9.13177,Entire home/apt,110,2,54,2020-08-30,0.85,7,0,0,
19589361,Sintra Samarra Beach & Quiet Special House,45080954,Daniel,Sintra,So Joo das Lampas e Terrugem,38.90698,-9.4097,Entire home/apt,285,5,2,2017-12-20,0.03,2,365,0,
19456175,In Love with Alfama with Private Patio,19042084,Diana,Lisboa,Santa Maria Maior,38.71157,-9.12914,Entire home/apt,132,2,284,2022-09-07,4.48,1,228,82,50830/AL
19457148,NEW!!! Yellow House Ericeira,136459650,Joana,Mafra,Ericeira,38.98594,-9.41862,Entire home/apt,247,4,90,2022-08-27,1.43,1,320,24,49097/AL
19359001,MourariALfama,20380623,Erasmo,Lisboa,Santa Maria Maior,38.71472,-9.13286,Private room,108,2,19,2018-11-11,0.30,8,238,0,55656/AL
19591017,ERICEIRA Blue Ocean,5186877,Maria,Mafra,Ericeira,38.98435,-9.41208,Entire home/apt,100,4,66,2022-09-10,1.06,3,24,12,
19359300,PrivateFloor Rooms in Lisbon,134435996,Marisa,Lisboa,Arroios,38.72396,-9.1389,Private room,439,1,46,2022-08-29,0.76,3,91,16,46705/AL
19361749,Lisbon Zoo House,127589264,Fábio,Lisboa,So Domingos de Benfica,38.74442,-9.1767,Entire home/apt,63,2,84,2022-09-12,1.34,1,327,19,55496/AL
19591105,room in Lisbon,137714113,Esther,Lisboa,Marvila,38.75683,-9.11495,Private room,22,1,105,2022-08-28,1.66,2,308,31,
19457151,sunny family apartment w/ garden and little pool,2562725,Julie & Fernando,Lisboa,Alvalade,38.74564,-9.14461,Entire home/apt,250,6,9,2022-08-19,0.14,1,305,3,Exempt
19457642,Casa de Santa Susana,136467110,Alexandra,Mafra,Igreja Nova e Cheleiros,38.91757,-9.37884,Entire home/apt,95,2,43,2022-09-10,0.69,2,179,3,56640/AL
